52855,16730
39940,86051
39940,13862
172868,1063201
85328,76462
124632,1468019
11076,68212
63945,549024
58985,3110
890,14614
10861,26767
10861,1399582
10861,1815838
1770,17016
44465,21371
2033,4756
18203,2283
18203,55152
9333,1723
47260,86293
9400,37932
9401,27846
12241,71825
25739,584483
161806,1217874
11306,10781
9625,35155
10680,27146
6346,15890
18660,83413
35115,87459
35115,1338894
14821,19032
14136,5834
10869,5834
22660,5834
19186,29715
31102,29715
6878,6592
15944,30099
18444,35318
20723,5834
173,2087
864,12962
24795,56506
11224,64864
11224,11434
11224,11429
11224,150115
11224,1557777
11224,115759
11224,137180
11224,222468
11224,236477
11224,225716
11224,150116
81310,57314
15947,5837
15947,11427
15947,64864
15947,74565
15947,77615
15947,103344
15947,148177
15947,150115
15947,225716
15947,226599
15947,236477
15947,1415527
9078,40345
9078,57314
29682,9082
29682,11429
8367,8300
433,5834
11360,5691
11360,11426
11360,11427
11360,11434
11360,74565
11360,226599
11114,25558
12335,5834
12092,11429
12092,11434
12092,64864
10948,67604
10948,67607
10948,107274
10948,1653448
10948,1700850
